sentence,intent,domain
quina temperatura fa actualment en l'{area},HassClimateGetTemperature,None
quina temperatura fa actualment en s'{area},HassClimateGetTemperature,None
quina temperatura fa actualment en la {area},HassClimateGetTemperature,None
quina temperatura fa actualment de el {area},HassClimateGetTemperature,None
quina temperatura fa actualment de l'{area},HassClimateGetTemperature,None
quina temperatura fa actualment de s'{area},HassClimateGetTemperature,None
quina temperatura fa actualment de la {area},HassClimateGetTemperature,None
quina temperatura fa actualment del el {area},HassClimateGetTemperature,None
quina temperatura fa actualment del l'{area},HassClimateGetTemperature,None
quina temperatura fa actualment del s'{area},HassClimateGetTemperature,None
quina temperatura fa actualment del la {area},HassClimateGetTemperature,None
quina temperatura fa actualment a el {area},HassClimateGetTemperature,None
quina temperatura fa actualment a l'{area},HassClimateGetTemperature,None
quina temperatura fa actualment a s'{area},HassClimateGetTemperature,None
quina temperatura fa actualment a la {area},HassClimateGetTemperature,None
quina temperatura fa actualment al el {area},HassClimateGetTemperature,None
quina temperatura fa actualment al l'{area},HassClimateGetTemperature,None
quina temperatura fa actualment al s'{area},HassClimateGetTemperature,None
quina temperatura fa actualment al la {area},HassClimateGetTemperature,None
quina és la temperatura ara en el {area},HassClimateGetTemperature,None
quina és la temperatura ara en l'{area},HassClimateGetTemperature,None
quina és la temperatura ara en s'{area},HassClimateGetTemperature,None
quina és la temperatura ara en la {area},HassClimateGetTemperature,None
quina és la temperatura ara de el {area},HassClimateGetTemperature,None
quina és la temperatura ara de l'{area},HassClimateGetTemperature,None
quina és la temperatura ara de s'{area},HassClimateGetTemperature,None
quina és la temperatura ara de la {area},HassClimateGetTemperature,None
quina és la temperatura ara del el {area},HassClimateGetTemperature,None
quina és la temperatura ara del l'{area},HassClimateGetTemperature,None
quina és la temperatura ara del s'{area},HassClimateGetTemperature,None
quina és la temperatura ara del la {area},HassClimateGetTemperature,None
quina és la temperatura ara a el {area},HassClimateGetTemperature,None
quina és la temperatura ara a l'{area},HassClimateGetTemperature,None
quina és la temperatura ara a s'{area},HassClimateGetTemperature,None
quina és la temperatura ara a la {area},HassClimateGetTemperature,None
quina és la temperatura ara al el {area},HassClimateGetTemperature,None
quina és la temperatura ara al l'{area},HassClimateGetTemperature,None
quina és la temperatura ara al s'{area},HassClimateGetTemperature,None
quina és la temperatura ara al la {area},HassClimateGetTemperature,None
quina és la temperatura actualment en el {area},HassClimateGetTemperature,None
quina és la temperatura actualment en l'{area},HassClimateGetTemperature,None
quina és la temperatura actualment en s'{area},HassClimateGetTemperature,None
quina és la temperatura actualment en la {area},HassClimateGetTemperature,None
quina és la temperatura actualment de el {area},HassClimateGetTemperature,None
quina és la temperatura actualment de l'{area},HassClimateGetTemperature,None
quina és la temperatura actualment de s'{area},HassClimateGetTemperature,None
quina és la temperatura actualment de la {area},HassClimateGetTemperature,None
quina és la temperatura actualment del el {area},HassClimateGetTemperature,None
quina és la temperatura actualment del l'{area},HassClimateGetTemperature,None
quina és la temperatura actualment del s'{area},HassClimateGetTemperature,None
quina és la temperatura actualment del la {area},HassClimateGetTemperature,None
quina és la temperatura actualment a el {area},HassClimateGetTemperature,None
quina és la temperatura actualment a l'{area},HassClimateGetTemperature,None
quina és la temperatura actualment a s'{area},HassClimateGetTemperature,None
quina és la temperatura actualment a la {area},HassClimateGetTemperature,None
quina és la temperatura actualment al el {area},HassClimateGetTemperature,None
quina és la temperatura actualment al l'{area},HassClimateGetTemperature,None
quina és la temperatura actualment al s'{area},HassClimateGetTemperature,None
quina és la temperatura actualment al la {area},HassClimateGetTemperature,None
quanta calor que fa ara en el {area},HassClimateGetTemperature,None
quanta calor que fa ara en l'{area},HassClimateGetTemperature,None
quanta calor que fa ara en s'{area},HassClimateGetTemperature,None
quanta calor que fa ara en la {area},HassClimateGetTemperature,None
quanta calor que fa ara de el {area},HassClimateGetTemperature,None
quanta calor que fa ara de l'{area},HassClimateGetTemperature,None
quanta calor que fa ara de s'{area},HassClimateGetTemperature,None
quanta calor que fa ara de la {area},HassClimateGetTemperature,None
quanta calor que fa ara del el {area},HassClimateGetTemperature,None
quanta calor que fa ara del l'{area},HassClimateGetTemperature,None
quanta calor que fa ara del s'{area},HassClimateGetTemperature,None
quanta calor que fa ara del la {area},HassClimateGetTemperature,None
quanta calor que fa ara a el {area},HassClimateGetTemperature,None
quanta calor que fa ara a l'{area},HassClimateGetTemperature,None
quanta calor que fa ara a s'{area},HassClimateGetTemperature,None
quanta calor que fa ara a la {area},HassClimateGetTemperature,None
quanta calor que fa ara al el {area},HassClimateGetTemperature,None
quanta calor que fa ara al l'{area},HassClimateGetTemperature,None
quanta calor que fa ara al s'{area},HassClimateGetTemperature,None
quanta calor que fa ara al la {area},HassClimateGetTemperature,None
quanta calor que fa actualment en el {area},HassClimateGetTemperature,None
quanta calor que fa actualment en l'{area},HassClimateGetTemperature,None
quanta calor que fa actualment en s'{area},HassClimateGetTemperature,None
quanta calor que fa actualment en la {area},HassClimateGetTemperature,None
quanta calor que fa actualment de el {area},HassClimateGetTemperature,None
quanta calor que fa actualment de l'{area},HassClimateGetTemperature,None
quanta calor que fa actualment de s'{area},HassClimateGetTemperature,None
quanta calor que fa actualment de la {area},HassClimateGetTemperature,None
quanta calor que fa actualment del el {area},HassClimateGetTemperature,None
quanta calor que fa actualment del l'{area},HassClimateGetTemperature,None
quanta calor que fa actualment del s'{area},HassClimateGetTemperature,None
quanta calor que fa actualment del la {area},HassClimateGetTemperature,None
quanta calor que fa actualment a el {area},HassClimateGetTemperature,None
quanta calor que fa actualment a l'{area},HassClimateGetTemperature,None
quanta calor que fa actualment a s'{area},HassClimateGetTemperature,None
quanta calor que fa actualment a la {area},HassClimateGetTemperature,None
quanta calor que fa actualment al el {area},HassClimateGetTemperature,None
quanta calor que fa actualment al l'{area},HassClimateGetTemperature,None
quanta calor que fa actualment al s'{area},HassClimateGetTemperature,None
quanta calor que fa actualment al la {area},HassClimateGetTemperature,None
quina calor que fa ara en el {area},HassClimateGetTemperature,None
quina calor que fa ara en l'{area},HassClimateGetTemperature,None
quina calor que fa ara en s'{area},HassClimateGetTemperature,None
quina calor que fa ara en la {area},HassClimateGetTemperature,None
quina calor que fa ara de el {area},HassClimateGetTemperature,None
quina calor que fa ara de l'{area},HassClimateGetTemperature,None
quina calor que fa ara de s'{area},HassClimateGetTemperature,None
quina calor que fa ara de la {area},HassClimateGetTemperature,None
quina calor que fa ara del el {area},HassClimateGetTemperature,None
quina calor que fa ara del l'{area},HassClimateGetTemperature,None
quina calor que fa ara del s'{area},HassClimateGetTemperature,None
quina calor que fa ara del la {area},HassClimateGetTemperature,None
quina calor que fa ara a el {area},HassClimateGetTemperature,None
quina calor que fa ara a l'{area},HassClimateGetTemperature,None
quina calor que fa ara a s'{area},HassClimateGetTemperature,None
quina calor que fa ara a la {area},HassClimateGetTemperature,None
quina calor que fa ara al el {area},HassClimateGetTemperature,None
quina calor que fa ara al l'{area},HassClimateGetTemperature,None
quina calor que fa ara al s'{area},HassClimateGetTemperature,None
quina calor que fa ara al la {area},HassClimateGetTemperature,None
quina calor que fa actualment en el {area},HassClimateGetTemperature,None
quina calor que fa actualment en l'{area},HassClimateGetTemperature,None
quina calor que fa actualment en s'{area},HassClimateGetTemperature,None
quina calor que fa actualment en la {area},HassClimateGetTemperature,None
quina calor que fa actualment de el {area},HassClimateGetTemperature,None
quina calor que fa actualment de l'{area},HassClimateGetTemperature,None
quina calor que fa actualment de s'{area},HassClimateGetTemperature,None
quina calor que fa actualment de la {area},HassClimateGetTemperature,None
quina calor que fa actualment del el {area},HassClimateGetTemperature,None
quina calor que fa actualment del l'{area},HassClimateGetTemperature,None
quina calor que fa actualment del s'{area},HassClimateGetTemperature,None
quina calor que fa actualment del la {area},HassClimateGetTemperature,None
quina calor que fa actualment a el {area},HassClimateGetTemperature,None
quina calor que fa actualment a l'{area},HassClimateGetTemperature,None
quina calor que fa actualment a s'{area},HassClimateGetTemperature,None
quina calor que fa actualment a la {area},HassClimateGetTemperature,None
quina calor que fa actualment al el {area},HassClimateGetTemperature,None
quina calor que fa actualment al l'{area},HassClimateGetTemperature,None
quina calor que fa actualment al s'{area},HassClimateGetTemperature,None
quina calor que fa actualment al la {area},HassClimateGetTemperature,None
posar la temperatura a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus,HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus,HassClimateSetTemperature,None
posar la calefacció a {temperature} graus,HassClimateSetTemperature,None
posat la calefacció a {temperature} graus,HassClimateSetTemperature,None
pujar la calefacció a {temperature} graus,HassClimateSetTemperature,None
pujat la calefacció a {temperature} graus,HassClimateSetTemperature,None
abaixar la calefacció a {temperature} graus,HassClimateSetTemperature,None
abaixat la calefacció a {temperature} graus,HassClimateSetTemperature,None
posar l'aire acondicionat a {temperature} graus,HassClimateSetTemperature,None
posat l'aire acondicionat a {temperature} graus,HassClimateSetTemperature,None
pujar l'aire acondicionat a {temperature} graus,HassClimateSetTemperature,None
pujat l'aire acondicionat a {temperature} graus,HassClimateSetTemperature,None
abaixar l'aire acondicionat a {temperature} graus,HassClimateSetTemperature,None
abaixat l'aire acondicionat a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura a {temperature} graus en el {area},HassClimateSetTemperature,None
posar la temperatura a {temperature} graus en l'{area},HassClimateSetTemperature,None
posar la temperatura a {temperature} graus en s'{area},HassClimateSetTemperature,None
posar la temperatura a {temperature} graus en la {area},HassClimateSetTemperature,None
posar la temperatura a {temperature} graus de el {area},HassClimateSetTemperature,None
posar la temperatura a {temperature} graus de l'{area},HassClimateSetTemperature,None
posar la temperatura a {temperature} graus de s'{area},HassClimateSetTemperature,None
posar la temperatura a {temperature} graus de la {area},HassClimateSetTemperature,None
posar la temperatura a {temperature} graus del el {area},HassClimateSetTemperature,None
posar la temperatura a {temperature} graus del l'{area},HassClimateSetTemperature,None
posar la temperatura a {temperature} graus del s'{area},HassClimateSetTemperature,None
posar la temperatura a {temperature} graus del la {area},HassClimateSetTemperature,None
posar la temperatura a {temperature} graus a el {area},HassClimateSetTemperature,None
posar la temperatura a {temperature} graus a l'{area},HassClimateSetTemperature,None
posar la temperatura a {temperature} graus a s'{area},HassClimateSetTemperature,None
posar la temperatura a {temperature} graus a la {area},HassClimateSetTemperature,None
posar la temperatura a {temperature} graus al el {area},HassClimateSetTemperature,None
posar la temperatura a {temperature} graus al l'{area},HassClimateSetTemperature,None
posar la temperatura a {temperature} graus al s'{area},HassClimateSetTemperature,None
posar la temperatura a {temperature} graus al la {area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus en el {area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus en l'{area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus en s'{area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus en la {area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus de el {area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus de l'{area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus de s'{area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus de la {area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus del el {area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus del l'{area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus del s'{area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus del la {area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus a el {area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus a l'{area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus a s'{area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus a la {area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus al el {area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus al l'{area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus al s'{area},HassClimateSetTemperature,None
posat la temperatura a {temperature} graus al la {area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus en el {area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus en l'{area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus en s'{area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus en la {area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus de el {area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus de l'{area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus de s'{area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus de la {area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus del el {area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus del l'{area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus del s'{area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus del la {area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus a el {area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus a l'{area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus a s'{area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus a la {area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus al el {area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus al l'{area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus al s'{area},HassClimateSetTemperature,None
pujar la temperatura a {temperature} graus al la {area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus en el {area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus en l'{area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus en s'{area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus en la {area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus de el {area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus de l'{area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus de s'{area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus de la {area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus del el {area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus del l'{area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus del s'{area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus del la {area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus a el {area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus a l'{area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus a s'{area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus a la {area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus al el {area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus al l'{area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus al s'{area},HassClimateSetTemperature,None
pujat la temperatura a {temperature} graus al la {area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus en el {area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus en l'{area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus en s'{area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus en la {area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus de el {area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus de l'{area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus de s'{area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus de la {area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus del el {area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus del l'{area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus del s'{area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus del la {area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus a el {area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus a l'{area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus a s'{area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus a la {area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus al el {area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus al l'{area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus al s'{area},HassClimateSetTemperature,None
abaixar la temperatura a {temperature} graus al la {area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus en el {area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus en l'{area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus en s'{area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus en la {area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus de el {area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus de l'{area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus de s'{area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus de la {area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus del el {area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus del l'{area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus del s'{area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus del la {area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus a el {area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus a l'{area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus a s'{area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus a la {area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus al el {area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus al l'{area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus al s'{area},HassClimateSetTemperature,None
abaixat la temperatura a {temperature} graus al la {area},HassClimateSetTemperature,None
posar la temperatura en el {area} a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura en l'{area} a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura en s'{area} a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura en la {area} a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura de el {area} a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura de l'{area} a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura de s'{area} a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura de la {area} a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura del el {area} a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura del l'{area} a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura del s'{area} a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura del la {area} a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura a el {area} a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura a l'{area} a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura a s'{area} a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura a la {area} a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura al el {area} a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura al l'{area} a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura al s'{area} a {temperature} graus,HassClimateSetTemperature,None
posar la temperatura al la {area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura en el {area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura en l'{area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura en s'{area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura en la {area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura de el {area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura de l'{area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura de s'{area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura de la {area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura del el {area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura del l'{area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura del s'{area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura del la {area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura a el {area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura a l'{area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura a s'{area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura a la {area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura al el {area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura al l'{area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura al s'{area} a {temperature} graus,HassClimateSetTemperature,None
posat la temperatura al la {area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura en el {area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura en l'{area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura en s'{area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura en la {area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura de el {area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura de l'{area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura de s'{area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura de la {area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura del el {area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura del l'{area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura del s'{area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura del la {area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura a el {area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura a l'{area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura a s'{area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura a la {area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura al el {area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura al l'{area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura al s'{area} a {temperature} graus,HassClimateSetTemperature,None
pujar la temperatura al la {area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura en el {area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura en l'{area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura en s'{area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura en la {area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura de el {area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura de l'{area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura de s'{area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura de la {area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura del el {area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura del l'{area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura del s'{area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura del la {area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura a el {area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura a l'{area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura a s'{area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura a la {area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura al el {area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura al l'{area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura al s'{area} a {temperature} graus,HassClimateSetTemperature,None
pujat la temperatura al la {area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura en el {area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura en l'{area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura en s'{area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura en la {area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura de el {area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura de l'{area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura de s'{area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura de la {area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura del el {area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura del l'{area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura del s'{area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura del la {area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura a el {area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura a l'{area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura a s'{area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura a la {area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura al el {area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura al l'{area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura al s'{area} a {temperature} graus,HassClimateSetTemperature,None
abaixar la temperatura al la {area} a {temperature} graus,HassClimateSetTemperature,None
abaixat la temperatura en el {area} a {temperature} graus,HassClimateSetTemperature,None
abaixat la temperatura en l'{area} a {temperature} graus,HassClimateSetTemperature,None
abaixat la temperatura en s'{area} a {temperature} graus,HassClimateSetTemperature,None
abaixat la temperatura en la {area} a {temperature} graus,HassClimateSetTemperature,None
abaixat la temperatura de el {area} a {temperature} graus,HassClimateSetTemperature,None
abaixat la temperatura de l'{area} a {temperature} graus,HassClimateSetTemperature,None
abaixat la temperatura de s'{area} a {temperature} graus,HassClimateSetTemperature,None
abaixat la temperatura de la {area} a {temperature} graus,HassClimateSetTemperature,None
abaixat la temperatura del el {area} a {temperature} graus,HassClimateSetTemperature,None
